Generic Name,Brand_Name,Drug_class,Indication , Dosage,renal_adjustment,renal_adjustment_dose,Administration,Preparation_for_administration ,Storage_Stability
Ampicillin,,Antibiotic, Pneumonia, 150 to 200 mg/kg/day divided every 6 hours,yes, GFR 10 to 29 mL/minute/1.73 m2: 35 to 50 mg/kg/dose every 8 to 12 hours  ,IV push: Doses ≤500 mg should be administered over 3 to 5 minutes; doses >500 mg should be administered over 10 to 15 minutes; rapid administration has been associated with seizures.    Intermittent IV infusion: Infuse over 10 to 15 minutes,"Reconstitute vial with the following amounts of SWFI or bacteriostatic water for injection  25 mg, 250 mg, or 500 mg vials: 5 mL; final concentration will vary depending on vial size.

1,000 mg vial: 7.4 mL.

2,000 mg vial: 14.8 mL.  further dilute for infusion; NS is the diluent of choice for intermittent infusion  Final concentration should not exceed 30 mg/mL ",
Ampicillin,,Antibiotic, Pneumonia, 150 to 200 mg/kg/day divided every 6 hours,yes, GFR <10 mL/minute/1.73 m2: 35 to 50 mg/kg/dose every 12 hours,IV push: Doses ≤500 mg should be administered over 3 to 5 minutes; doses >500 mg should be administered over 10 to 15 minutes; rapid administration has been associated with seizures.    Intermittent IV infusion: Infuse over 10 to 15 minutes,"Reconstitute vial with the following amounts of SWFI or bacteriostatic water for injection  25 mg, 250 mg, or 500 mg vials: 5 mL; final concentration will vary depending on vial size.

1,000 mg vial: 7.4 mL.

2,000 mg vial: 14.8 mL.  further dilute for infusion; NS is the diluent of choice for intermittent infusion  Final concentration should not exceed 30 mg/mL ",
Ampicillin and Sulbactam,,Antibiotic,Endocarditis," treatment:  200 to 300 mg ampicillin/kg/day divided every 4 to 6 hours; maximum dose: 2,000 mg ampicillin/dose.   ",yes,CrCl ≥30 mL/minute/1.73 m2: No dosage adjustment required,IV: Administer by slow IV injection over 10 to 15 minutes or by intermittent IV infusion over 15 to 30 minutes. ,"Single-dose vials: Reconstitute 1.5 g vial with 3.2 mL SWFI or 3 g vial with 6.4 mL SWFI; resultant concentration: 375 mg/mL of total ampicillin/sulbactam (ie, 250 mg/mL of ampicillin and 125 mg/mL of sulbactam). Further dilute with a compatible solution to a final concentration of 3 to 45 mg/mL of total ampicillin/sulbactam (2 to 30 mg/mL of ampicillin and 1 to 15 mg/mL of sulbactam).",
Ampicillin and Sulbactam,,Antibiotic,Endocarditis," treatment:  200 to 300 mg ampicillin/kg/day divided every 4 to 6 hours; maximum dose: 2,000 mg ampicillin/dose.   ",yes,CrCl 15 to 29 mL/minute/1.73 m2: Administer every 12 hours,IV: Administer by slow IV injection over 10 to 15 minutes or by intermittent IV infusion over 15 to 30 minutes. ,"Single-dose vials: Reconstitute 1.5 g vial with 3.2 mL SWFI or 3 g vial with 6.4 mL SWFI; resultant concentration: 375 mg/mL of total ampicillin/sulbactam (ie, 250 mg/mL of ampicillin and 125 mg/mL of sulbactam). Further dilute with a compatible solution to a final concentration of 3 to 45 mg/mL of total ampicillin/sulbactam (2 to 30 mg/mL of ampicillin and 1 to 15 mg/mL of sulbactam).",
Ampicillin and Sulbactam,,Antibiotic,Endocarditis," treatment:  200 to 300 mg ampicillin/kg/day divided every 4 to 6 hours; maximum dose: 2,000 mg ampicillin/dose.   ",yes,CrCl 5 to 14 mL/minute/1.73 m2: Administer every 24 hours.,IV: Administer by slow IV injection over 10 to 15 minutes or by intermittent IV infusion over 15 to 30 minutes. ,"Single-dose vials: Reconstitute 1.5 g vial with 3.2 mL SWFI or 3 g vial with 6.4 mL SWFI; resultant concentration: 375 mg/mL of total ampicillin/sulbactam (ie, 250 mg/mL of ampicillin and 125 mg/mL of sulbactam). Further dilute with a compatible solution to a final concentration of 3 to 45 mg/mL of total ampicillin/sulbactam (2 to 30 mg/mL of ampicillin and 1 to 15 mg/mL of sulbactam).",
Ampicillin and Sulbactam,,Antibiotic,Meningitis," 400 mg ampicillin/kg/day in divided doses every 4 to 6 hours; maximum dose: 2,000 mg ampicillin/dose",yes,CrCl ≥30 mL/minute/1.73 m2: No dosage adjustment required.,IV: Administer by slow IV injection over 10 to 15 minutes or by intermittent IV infusion over 15 to 30 minutes. ,"Single-dose vials: Reconstitute 1.5 g vial with 3.2 mL SWFI or 3 g vial with 6.4 mL SWFI; resultant concentration: 375 mg/mL of total ampicillin/sulbactam (ie, 250 mg/mL of ampicillin and 125 mg/mL of sulbactam). Further dilute with a compatible solution to a final concentration of 3 to 45 mg/mL of total ampicillin/sulbactam (2 to 30 mg/mL of ampicillin and 1 to 15 mg/mL of sulbactam).",
Ampicillin and Sulbactam,,Antibiotic,Meningitis," 400 mg ampicillin/kg/day in divided doses every 4 to 6 hours; maximum dose: 2,000 mg ampicillin/dose",yes,CrCl 15 to 29 mL/minute/1.73 m2: Administer every 12 hours.,IV: Administer by slow IV injection over 10 to 15 minutes or by intermittent IV infusion over 15 to 30 minutes. ,"Single-dose vials: Reconstitute 1.5 g vial with 3.2 mL SWFI or 3 g vial with 6.4 mL SWFI; resultant concentration: 375 mg/mL of total ampicillin/sulbactam (ie, 250 mg/mL of ampicillin and 125 mg/mL of sulbactam). Further dilute with a compatible solution to a final concentration of 3 to 45 mg/mL of total ampicillin/sulbactam (2 to 30 mg/mL of ampicillin and 1 to 15 mg/mL of sulbactam).",
Ampicillin and Sulbactam,,Antibiotic,Meningitis," 400 mg ampicillin/kg/day in divided doses every 4 to 6 hours; maximum dose: 2,000 mg ampicillin/dose",yes,CrCl 5 to 14 mL/minute/1.73 m2: Administer every 24 hours.,IV: Administer by slow IV injection over 10 to 15 minutes or by intermittent IV infusion over 15 to 30 minutes. ,"Single-dose vials: Reconstitute 1.5 g vial with 3.2 mL SWFI or 3 g vial with 6.4 mL SWFI; resultant concentration: 375 mg/mL of total ampicillin/sulbactam (ie, 250 mg/mL of ampicillin and 125 mg/mL of sulbactam). Further dilute with a compatible solution to a final concentration of 3 to 45 mg/mL of total ampicillin/sulbactam (2 to 30 mg/mL of ampicillin and 1 to 15 mg/mL of sulbactam).",
Ampicillin and Sulbactam,,Antibiotic,Osteoarticular infection,"200 mg ampicillin/kg/day in divided doses every 6 hours; maximum dose: 2,000 mg ampicillin/dose ",yes,CrCl ≥30 mL/minute/1.73 m2: No dosage adjustment required,IV: Administer by slow IV injection over 10 to 15 minutes or by intermittent IV infusion over 15 to 30 minutes. ,"Single-dose vials: Reconstitute 1.5 g vial with 3.2 mL SWFI or 3 g vial with 6.4 mL SWFI; resultant concentration: 375 mg/mL of total ampicillin/sulbactam (ie, 250 mg/mL of ampicillin and 125 mg/mL of sulbactam). Further dilute with a compatible solution to a final concentration of 3 to 45 mg/mL of total ampicillin/sulbactam (2 to 30 mg/mL of ampicillin and 1 to 15 mg/mL of sulbactam).",
Ampicillin and Sulbactam,,Antibiotic,Osteoarticular infection,"200 mg ampicillin/kg/day in divided doses every 6 hours; maximum dose: 2,000 mg ampicillin/dose ",yes,CrCl 15 to 29 mL/minute/1.73 m2: Administer every 12 hours.,IV: Administer by slow IV injection over 10 to 15 minutes or by intermittent IV infusion over 15 to 30 minutes. ,"Single-dose vials: Reconstitute 1.5 g vial with 3.2 mL SWFI or 3 g vial with 6.4 mL SWFI; resultant concentration: 375 mg/mL of total ampicillin/sulbactam (ie, 250 mg/mL of ampicillin and 125 mg/mL of sulbactam). Further dilute with a compatible solution to a final concentration of 3 to 45 mg/mL of total ampicillin/sulbactam (2 to 30 mg/mL of ampicillin and 1 to 15 mg/mL of sulbactam).",
Ampicillin and Sulbactam,,Antibiotic,Osteoarticular infection,"200 mg ampicillin/kg/day in divided doses every 6 hours; maximum dose: 2,000 mg ampicillin/dose ",yes,CrCl 5 to 14 mL/minute/1.73 m2: Administer every 24 hours.,IV: Administer by slow IV injection over 10 to 15 minutes or by intermittent IV infusion over 15 to 30 minutes. ,"Single-dose vials: Reconstitute 1.5 g vial with 3.2 mL SWFI or 3 g vial with 6.4 mL SWFI; resultant concentration: 375 mg/mL of total ampicillin/sulbactam (ie, 250 mg/mL of ampicillin and 125 mg/mL of sulbactam). Further dilute with a compatible solution to a final concentration of 3 to 45 mg/mL of total ampicillin/sulbactam (2 to 30 mg/mL of ampicillin and 1 to 15 mg/mL of sulbactam).",
Ampicillin and Sulbactam,,Antibiotic, Skin and soft tissue infection,"200 mg ampicillin/kg/day divided every 6 hours for up to 14 days; maximum dose: 2,000 mg ampicillin/dose.",yes,CrCl ≥30 mL/minute/1.73 m2: No dosage adjustment required.,IV: Administer by slow IV injection over 10 to 15 minutes or by intermittent IV infusion over 15 to 30 minutes. ,"Single-dose vials: Reconstitute 1.5 g vial with 3.2 mL SWFI or 3 g vial with 6.4 mL SWFI; resultant concentration: 375 mg/mL of total ampicillin/sulbactam (ie, 250 mg/mL of ampicillin and 125 mg/mL of sulbactam). Further dilute with a compatible solution to a final concentration of 3 to 45 mg/mL of total ampicillin/sulbactam (2 to 30 mg/mL of ampicillin and 1 to 15 mg/mL of sulbactam).",
Ampicillin and Sulbactam,,Antibiotic, Skin and soft tissue infection,"200 mg ampicillin/kg/day divided every 6 hours for up to 14 days; maximum dose: 2,000 mg ampicillin/dose.",yes,CrCl 15 to 29 mL/minute/1.73 m2: Administer every 12 hours,IV: Administer by slow IV injection over 10 to 15 minutes or by intermittent IV infusion over 15 to 30 minutes. ,"Single-dose vials: Reconstitute 1.5 g vial with 3.2 mL SWFI or 3 g vial with 6.4 mL SWFI; resultant concentration: 375 mg/mL of total ampicillin/sulbactam (ie, 250 mg/mL of ampicillin and 125 mg/mL of sulbactam). Further dilute with a compatible solution to a final concentration of 3 to 45 mg/mL of total ampicillin/sulbactam (2 to 30 mg/mL of ampicillin and 1 to 15 mg/mL of sulbactam).",
Ampicillin and Sulbactam,,Antibiotic, Skin and soft tissue infection,"200 mg ampicillin/kg/day divided every 6 hours for up to 14 days; maximum dose: 2,000 mg ampicillin/dose.",yes,CrCl 5 to 14 mL/minute/1.73 m2: Administer every 24 hours.,IV: Administer by slow IV injection over 10 to 15 minutes or by intermittent IV infusion over 15 to 30 minutes. ,"Single-dose vials: Reconstitute 1.5 g vial with 3.2 mL SWFI or 3 g vial with 6.4 mL SWFI; resultant concentration: 375 mg/mL of total ampicillin/sulbactam (ie, 250 mg/mL of ampicillin and 125 mg/mL of sulbactam). Further dilute with a compatible solution to a final concentration of 3 to 45 mg/mL of total ampicillin/sulbactam (2 to 30 mg/mL of ampicillin and 1 to 15 mg/mL of sulbactam).",
Acyclovir ,Zovirax ,Antiviral Agent,Herpes simplex virus," acute retinal necrosis, treatment (patients with HIV): 10 to 15 mg/kg/dose every 8 hours for 10 to 14 days.",yes,"CrCl >50 mL/minute/1.73 m2: IV: No dosage adjustment necessary (Ref).





",Parenteral: Administer by slow IV infusion over at least 1 hour; rapid infusion is associated with nephrotoxicity due to crystalluria and renal tubular damage and should be avoided. Maintain adequate hydration during therapy. ,"Parenteral: IV: Dilute in a compatible solution (eg, D5W, NS) to a final concentration ≤7 mg/mL.",
Acyclovir ,Zovirax ,Antiviral Agent,Herpes simplex virus," acute retinal necrosis, treatment (patients with HIV): 10 to 15 mg/kg/dose every 8 hours for 10 to 14 days.",yes,"CrCl 25 to 50 mL/minute/1.73 m2: IV: Administer the usual recommended dose every 12 hours (Ref).

",Parenteral: Administer by slow IV infusion over at least 1 hour; rapid infusion is associated with nephrotoxicity due to crystalluria and renal tubular damage and should be avoided. Maintain adequate hydration during therapy. ,"Parenteral: IV: Dilute in a compatible solution (eg, D5W, NS) to a final concentration ≤7 mg/mL.",
Acyclovir ,Zovirax ,Antiviral Agent,Herpes simplex virus," acute retinal necrosis, treatment (patients with HIV): 10 to 15 mg/kg/dose every 8 hours for 10 to 14 days.",yes,"CrCl 10 to <25 mL/minute/1.73 m2: IV: Administer the usual recommended dose every 24 hours (Ref).

",Parenteral: Administer by slow IV infusion over at least 1 hour; rapid infusion is associated with nephrotoxicity due to crystalluria and renal tubular damage and should be avoided. Maintain adequate hydration during therapy. ,"Parenteral: IV: Dilute in a compatible solution (eg, D5W, NS) to a final concentration ≤7 mg/mL.",
Acyclovir ,Zovirax ,Antiviral Agent,Herpes simplex virus," acute retinal necrosis, treatment (patients with HIV): 10 to 15 mg/kg/dose every 8 hours for 10 to 14 days.",yes,"CrCl <10 mL/minute/1.73 m2: IV: Administer 50% of the usual recommended dose every 24 hours (eg, if the usual recommended dose is 10 mg/kg/dose every 8 hours, then administer 5 mg/kg/dose every 24 hours) (Ref).",Parenteral: Administer by slow IV infusion over at least 1 hour; rapid infusion is associated with nephrotoxicity due to crystalluria and renal tubular damage and should be avoided. Maintain adequate hydration during therapy. ,"Parenteral: IV: Dilute in a compatible solution (eg, D5W, NS) to a final concentration ≤7 mg/mL.",
Acyclovir ,,Antiviral Agent,Herpes simplex virus encephalitis,"10 to 15 mg/kg/dose every 8 hours for 21 days. 

",yes,"CrCl >50 mL/minute/1.73 m2: IV: No dosage adjustment necessary (Ref).

",Parenteral: Administer by slow IV infusion over at least 1 hour; rapid infusion is associated with nephrotoxicity due to crystalluria and renal tubular damage and should be avoided. Maintain adequate hydration during therapy. ,"Parenteral: IV: Dilute in a compatible solution (eg, D5W, NS) to a final concentration ≤7 mg/mL.",
Acyclovir ,,Antiviral Agent,Herpes simplex virus encephalitis,"10 to 15 mg/kg/dose every 8 hours for 21 days. 

",yes,"CrCl 25 to 50 mL/minute/1.73 m2: IV: Administer the usual recommended dose every 12 hours (Ref).


",Parenteral: Administer by slow IV infusion over at least 1 hour; rapid infusion is associated with nephrotoxicity due to crystalluria and renal tubular damage and should be avoided. Maintain adequate hydration during therapy. ,"Parenteral: IV: Dilute in a compatible solution (eg, D5W, NS) to a final concentration ≤7 mg/mL.",
Acyclovir ,,Antiviral Agent,Herpes simplex virus encephalitis,"10 to 15 mg/kg/dose every 8 hours for 21 days. 

",yes,"CrCl 10 to <25 mL/minute/1.73 m2: IV: Administer the usual recommended dose every 24 hours (Ref).

",Parenteral: Administer by slow IV infusion over at least 1 hour; rapid infusion is associated with nephrotoxicity due to crystalluria and renal tubular damage and should be avoided. Maintain adequate hydration during therapy. ,"Parenteral: IV: Dilute in a compatible solution (eg, D5W, NS) to a final concentration ≤7 mg/mL.",
Acyclovir ,,Antiviral Agent,Herpes simplex virus encephalitis,"10 to 15 mg/kg/dose every 8 hours for 21 days. 

",yes,"CrCl <10 mL/minute/1.73 m2: IV: Administer 50% of the usual recommended dose every 24 hours (eg, if the usual recommended dose is 10 mg/kg/dose every 8 hours, then administer 5 mg/kg/dose every 24 hours) (Ref).",Parenteral: Administer by slow IV infusion over at least 1 hour; rapid infusion is associated with nephrotoxicity due to crystalluria and renal tubular damage and should be avoided. Maintain adequate hydration during therapy. ,"Parenteral: IV: Dilute in a compatible solution (eg, D5W, NS) to a final concentration ≤7 mg/mL.",
Albumin ,,"Blood Product Derivative; Plasma Volume Expander, Colloid",Ascites with hypoalbuminemia, 25% albumin: IV: 0.5 to 1 g/kg/dose over 2 to 3 hours; may repeat up to 3 times per day until albumin is >2.5 g/dL; maximum dose: 25 g/dose        ,no,There are no dosing adjustments provided in the manufacturer's labeling; use with caution.,25%: Do not exceed 1 to 2 mL/minute in patients without shock ,"Parenteral: IV: If 5% human albumin is unavailable, it may be prepared by diluting 25% human albumin with NS or D5W (if sodium load is a concern). Do not use sterile water to dilute albumin solutions, as this has been associated with hypotonic-associated hemolysis.",Store at ≤25°C (≤77°F); do not freeze. Do not use solution if it is turbid or contains a deposit; use within 4 hours after opening vial; discard unused portion.
Albumin ,,"Blood Product Derivative; Plasma Volume Expander, Colloid"," Nephrotic syndrome edema, refractory:  ",25% albumin: IV: 0.5 to 1 g/kg/dose over 30 to 60 minutes followed by diuretic,no,There are no dosing adjustments provided in the manufacturer's labeling; use with caution.,25%: Do not exceed 1 to 2 mL/minute in patients without shock ,"Parenteral: IV: If 5% human albumin is unavailable, it may be prepared by diluting 25% human albumin with NS or D5W (if sodium load is a concern). Do not use sterile water to dilute albumin solutions, as this has been associated with hypotonic-associated hemolysis.",Store at ≤25°C (≤77°F); do not freeze. Do not use solution if it is turbid or contains a deposit; use within 4 hours after opening vial; discard unused portion.
Amiodarone ,,Antiarrhythmic Agent,Perfusing tachycardias,":  Loading dose: 5 mg/kg (maximum dose: 300 mg/dose) over 20 to 60 minutes; may repeat twice up to maximum total dose of 15 mg/kg during acute treatment   




",no,"For infusions >1 hour, use concentrations ≤2 mg/mL unless a central venous catheter is used; commercially prepared premixed solutions in concentrations of 1.5 mg/mL and 1.8 mg/mL are available. Use only volumetric infusion pump; use of drop counting may lead to underdosage. Administer through an IV line located as centrally as possible. For peripheral infusions, an in-line filter has been recommended during administration to reduce the incidence of phlebitis (consult individual institutional policies and procedures). During pulseless VT/VF, administering undiluted is preferred","Information based on adult data: Injection must be diluted before IV use. Administer via central venous catheter, if possible; increased phlebitis may occur with peripheral infusions >3 mg/mL in D5W; the use of a central venous catheter with concentrations >2 mg/mL for infusions >1 hour is recommended. Must be infused via volumetric infusion device; drop size of IV solution may be reduced and underdosage may occur if drop counter-infusion sets are used. PVC tubing is recommended for administration regardless of infusion duration. Incompatible with heparin; flush with normal saline prior to and following infusion.", Continuous IV infusion: Information based on adult data: Injection must be diluted in D5W to maximum concentration for IV infusion of 6 mg/mL prior to administration. Commercially prepared premixed solutions in concentrations of 1.5 mg/mL and 1.8 mg/mL are available. ASHP recommends standard concentrations of 1.8 mg/mL and 3.6 mg/mL in pediatric patients,Injection: Store undiluted vials and premixed solutions (Nexterone) at 20°C to 25°C (68°F to 77°F); excursions are permitted between 15°C and 30°C
Amiodarone ,,Antiarrhythmic Agent,"Tachyarrhythmia, treatment (acute, life-threatening) ","Loading dose: IV: 5 mg/kg (maximum dose: 300 mg/dose) given over 60 minutes   Continuous IV infusion (if needed): Dosing based on mcg/kg/minute: Initial: 5 mcg/kg/minute; increase incrementally as clinically needed; range: 5 to 15 mcg/kg/minute; maximum daily dose: 2,200 mg/day .  Dosing based on mg/kg/day: Initial: 10 mg/kg/day; increase incrementally as clinically needed; range: 10 to 20 mg/kg/day; maximum daily dose: 2,200 mg/day .",no,"For infusions >1 hour, use concentrations ≤2 mg/mL unless a central venous catheter is used; commercially prepared premixed solutions in concentrations of 1.5 mg/mL and 1.8 mg/mL are available. Use only volumetric infusion pump; use of drop counting may lead to underdosage. Administer through an IV line located as centrally as possible. For peripheral infusions, an in-line filter has been recommended during administration to reduce the incidence of phlebitis (consult individual institutional policies and procedures). During pulseless VT/VF, administering undiluted is preferred","Perfusing arrhythmias: Information based on adult data: Injection must be diluted before IV use. Administer via central venous catheter, if possible; increased phlebitis may occur with peripheral infusions >3 mg/mL in D5W; the use of a central venous catheter with concentrations >2 mg/mL for infusions >1 hour is recommended. Must be infused via volumetric infusion device; drop size of IV solution may be reduced and underdosage may occur if drop counter-infusion sets are used. PVC tubing is recommended for administration regardless of infusion duration. Incompatible with heparin; flush with normal saline prior to and following infusion.",IV: Perfusing arrhythmias: Continuous IV infusion: Information based on adult data: Injection must be diluted in D5W to maximum concentration for IV infusion of 6 mg/mL prior to administration. Commercially prepared premixed solutions in concentrations of 1.5 mg/mL and 1.8 mg/mL are available. ASHP recommends standard concentrations of 1.8 mg/mL and 3.6 mg/mL in pediatric patients,Injection: Store undiluted vials and premixed solutions (Nexterone) at 20°C to 25°C (68°F to 77°F); excursions are permitted between 15°C and 30°C
Clindamycin ,,Antibiotic,"Intra-abdominal infection, complicated","20 to 40 mg/kg/day divided every 6 to 8 hours  maximum daily dose: 2,700 mg/day     

",no,Mild to severe impairment: No dosage adjustment necessary.,"IV: Infuse over at least 10 to 60 minutes, at a rate not to exceed 30 mg/minute; hypotension and cardiopulmonary arrest have been reported following rapid IV administration.","Dilute vials that require dilution (150 mg/mL) with a compatible diluent (eg, D5W, NS) to a final concentration ≤18 mg/mL.",
Clindamycin ,,Antibiotic,"Cellulitis, erysipelas, purulent/fluctuant SSTI"," IV: 25 to 40 mg/kg/day in divided doses every 8 hours; maximum dose: 600 mg/dose .
 
",no,Mild to severe impairment: No dosage adjustment necessary.,"IV: Infuse over at least 10 to 60 minutes, at a rate not to exceed 30 mg/minute; hypotension and cardiopulmonary arrest have been reported following rapid IV administration.","Dilute vials that require dilution (150 mg/mL) with a compatible diluent (eg, D5W, NS) to a final concentration ≤18 mg/mL.",
